Date,TSLA,"Tesla, Inc.","Tesla,"
2017-02-14,5.8500000000000005,0.0,0.0
2017-02-15,5.07,0.0,19.78
2017-02-16,5.98,0.0,0.0
2017-02-17,4.42,0.0,19.32
2017-02-18,1.4300000000000002,0.0,46.0
2017-02-19,0.39,13.0,0.0
2017-02-20,2.08,10.92,20.240000000000002
2017-02-21,4.55,0.0,18.86
2017-02-22,13.0,0.0,0.0
2017-02-23,11.18,10.4,0.0
2017-02-24,5.59,0.0,0.0
2017-02-25,2.08,12.74,0.0
2017-02-26,0.91,0.0,44.620000000000005
2017-02-27,7.15,0.0,17.94
2017-02-28,6.5,0.0,17.94
2017-03-01,8.4,0.0,10.530000000000001
2017-03-02,6.7,0.0,10.8
2017-03-03,5.7,0.0,0.0
2017-03-04,2.4000000000000004,0.0,13.5
2017-03-05,1.6,0.0,26.73
2017-03-06,3.7,0.0,21.6
2017-03-07,4.7,0.0,10.530000000000001
2017-03-08,4.7,0.0,11.07
2017-03-09,4.1000000000000005,0.0,0.0
2017-03-10,5.4,0.0,0.0
2017-03-11,1.5,0.0,13.5
2017-03-12,0.8,0.0,0.0
2017-03-13,4.3,0.0,21.060000000000002
2017-03-14,5.9,0.0,11.34
2017-03-15,8.0,0.0,11.34
2017-03-16,7.1000000000000005,0.0,11.34
2017-03-17,4.9,0.0,11.88
2017-03-18,2.0,0.0,0.0
2017-03-19,0.8,0.0,0.0
2017-03-20,4.9,0.0,0.0
2017-03-21,5.0,0.0,11.34
2017-03-22,4.3,0.0,0.0
2017-03-23,4.3,0.0,0.0
2017-03-24,5.0,0.0,0.0
2017-03-25,1.7000000000000002,0.0,13.770000000000001
2017-03-26,1.6,0.0,27.0
2017-03-27,5.300000000000001,0.0,11.34
2017-03-28,10.0,0.0,0.0
2017-03-29,7.7,0.0,11.34
2017-03-30,4.9,0.0,11.610000000000001
2017-03-31,4.5,0.0,23.220000000000002
2017-04-01,1.12,0.0,0.0
2017-04-02,1.6800000000000002,0.0,0.0
