Date,PFE,"Pfizer, Inc.","Pfizer,"
2018-02-19,1.1900000000000002,,0.0
2018-02-20,2.24,,0.0
2018-02-21,3.3600000000000003,,0.0
2018-02-22,3.0100000000000002,,0.0
2018-02-23,3.0100000000000002,,0.0
2018-02-24,1.33,,34.0
2018-02-25,0.0,,0.0
2018-02-26,3.3600000000000003,,0.0
2018-02-27,3.2900000000000005,,0.0
2018-02-28,4.760000000000001,,0.0
2018-03-01,3.0500000000000003,,0.0
2018-03-02,3.35,,0.0
2018-03-03,0.9,,0.0
2018-03-04,0.9,,29.759999999999998
2018-03-05,3.5,,0.0
2018-03-06,2.95,,24.8
2018-03-07,5.0,,24.8
2018-03-08,3.0,,0.0
2018-03-09,4.800000000000001,,25.73
2018-03-10,2.6500000000000004,,0.0
2018-03-11,0.9,,0.0
2018-03-12,3.0,,0.0
2018-03-13,4.1000000000000005,,0.0
2018-03-14,3.75,,0.0
2018-03-15,1.5,,0.0
2018-03-16,3.45,,0.0
2018-03-17,1.55,,0.0
2018-03-18,0.9,,31.0
2018-03-19,2.25,,0.0
2018-03-20,2.8000000000000003,,0.0
2018-03-21,1.85,,0.0
2018-03-22,2.25,,0.0
2018-03-23,2.5500000000000003,,0.0
2018-03-24,0.9,,0.0
2018-03-25,0.0,,0.0
2018-03-26,4.25,,0.0
2018-03-27,3.3000000000000003,,0.0
2018-03-28,2.5500000000000003,,0.0
2018-03-29,2.15,,0.0
2018-03-30,1.6500000000000001,,0.0
2018-03-31,1.4000000000000001,,0.0
2018-04-01,1.25,,0.0
2018-04-02,3.35,,0.0
2018-04-03,3.4000000000000004,,0.0
2018-04-04,4.45,,0.0
2018-04-05,2.25,,0.0
2018-04-06,3.1500000000000004,,0.0
2018-04-07,1.2000000000000002,,0.0
2018-04-08,1.4000000000000001,,0.0
2018-04-09,2.6,,31.16
2018-04-10,2.2,,0.0
2018-04-11,3.8000000000000003,,0.0
2018-04-12,3.45,,0.0
2018-04-13,1.6500000000000001,,0.0
2018-04-14,0.9500000000000001,,0.0
2018-04-15,0.45,,0.0
2018-04-16,2.1,,0.0
2018-04-17,2.4000000000000004,,0.0
2018-04-18,5.0,,0.0
2018-04-19,2.85,,0.0
2018-04-20,2.9000000000000004,,0.0
2018-04-21,1.4500000000000002,,0.0
2018-04-22,0.9500000000000001,,38.0
2018-04-23,2.95,,0.0
2018-04-24,2.35,,0.0
2018-04-25,1.9500000000000002,,0.0
2018-04-26,3.4000000000000004,,0.0
2018-04-27,2.6500000000000004,,0.0
2018-04-28,1.0,,0.0
2018-04-29,0.75,,0.0
2018-04-30,1.8,,0.0
2018-05-01,6.0,,40.85
2018-05-02,3.36,,0.0
2018-05-03,3.36,,0.0
2018-05-04,1.56,,0.0
2018-05-05,1.5,,0.0
2018-05-06,1.14,,0.0
2018-05-07,4.859999999999999,,0.0
2018-05-08,1.7999999999999998,,0.0
2018-05-09,2.16,,0.0
2018-05-10,0.96,,0.0
2018-05-11,3.12,,0.0
2018-05-12,1.5,,0.0
2018-05-13,0.36,,0.0
2018-05-14,2.52,,0.0
2018-05-15,1.2,,0.0
2018-05-16,3.36,,0.0
2018-05-17,1.8599999999999999,,42.57
2018-05-18,2.52,,43.0
2018-05-19,1.14,,0.0
2018-05-20,0.36,,0.0
2018-05-21,2.76,,0.0
2018-05-22,1.5,,0.0
2018-05-23,1.56,,0.0
2018-05-24,2.28,,0.0
2018-05-25,1.68,,0.0
2018-05-26,0.42,,0.0
2018-05-27,0.0,,0.0
2018-05-28,0.0,,0.0
2018-05-29,3.7199999999999998,,0.0
2018-05-30,1.8599999999999999,,0.0
2018-05-31,2.58,,0.0
2018-06-01,3.6,0.0,0.0
2018-06-02,2.15,0.0,0.0
2018-06-03,0.0,0.0,0.0
2018-06-04,0.7000000000000001,0.0,21.85
2018-06-05,1.05,0.0,0.0
2018-06-06,1.8,0.0,22.080000000000002
2018-06-07,3.5500000000000003,0.0,0.0
2018-06-08,2.6,0.0,0.0
2018-06-09,0.8500000000000001,0.0,0.0
2018-06-10,0.45,0.0,0.0
2018-06-11,1.7000000000000002,0.0,0.0
2018-06-12,5.0,0.0,0.0
2018-06-13,2.6500000000000004,0.0,0.0
2018-06-14,1.4500000000000002,0.0,0.0
2018-06-15,2.6,0.0,23.0
2018-06-16,0.45,0.0,0.0
2018-06-17,0.0,0.0,0.0
2018-06-18,2.5,0.0,0.0
2018-06-19,1.75,0.0,0.0
2018-06-20,2.5,0.0,0.0
2018-06-21,1.8,0.0,0.0
2018-06-22,2.95,0.0,0.0
2018-06-23,0.8500000000000001,0.0,0.0
2018-06-24,1.25,0.0,0.0
2018-06-25,2.5,0.0,0.0
2018-06-26,2.15,0.0,0.0
2018-06-27,1.8,0.0,22.080000000000002
2018-06-28,3.25,0.0,0.0
2018-06-29,1.1500000000000001,0.0,0.0
2018-06-30,0.4,0.0,0.0
2018-07-01,0.36,,0.0
2018-07-02,0.6599999999999999,,14.840000000000002
2018-07-03,1.3199999999999998,,0.0
2018-07-04,1.8599999999999999,,0.0
2018-07-05,1.38,,0.0
2018-07-06,2.88,,0.0
2018-07-07,0.0,,0.0
2018-07-08,0.0,,0.0
2018-07-09,1.8599999999999999,,0.0
2018-07-10,2.46,,0.0
2018-07-11,5.46,,28.000000000000004
2018-07-12,4.26,,0.0
2018-07-13,4.02,,0.0
2018-07-14,2.28,,0.0
2018-07-15,0.72,,0.0
2018-07-16,1.92,,0.0
2018-07-17,1.26,,0.0
2018-07-18,1.98,,0.0
2018-07-19,1.98,,0.0
2018-07-20,2.34,,0.0
2018-07-21,1.5,,0.0
2018-07-22,0.0,,0.0
2018-07-23,1.56,,0.0
2018-07-24,1.92,,0.0
2018-07-25,2.52,,14.840000000000002
2018-07-26,2.58,,0.0
2018-07-27,3.96,,0.0
2018-07-28,1.14,,0.0
2018-07-29,0.0,,0.0
2018-07-30,1.6199999999999999,,0.0
2018-07-31,6.0,,0.0
2018-08-01,3.6,,0.0
2018-08-02,4.72,,0.0
2018-08-03,4.16,,0.0
2018-08-04,0.48,,0.0
2018-08-05,1.44,,0.0
2018-08-06,4.88,,0.0
2018-08-07,4.4,,0.0
2018-08-08,5.28,,0.0
2018-08-09,3.2800000000000002,,17.0
2018-08-10,4.5600000000000005,,0.0
2018-08-11,1.44,,0.0
2018-08-12,0.0,,0.0
2018-08-13,4.8,,17.0
2018-08-14,7.36,,0.0
2018-08-15,4.48,,0.0
2018-08-16,5.76,,0.0
2018-08-17,4.88,,0.0
2018-08-18,0.96,,0.0
2018-08-19,1.44,,0.0
2018-08-20,4.08,,0.0
2018-08-21,4.88,,0.0
2018-08-22,2.88,,0.0
2018-08-23,4.16,,0.0
2018-08-24,4.16,,0.0
2018-08-25,0.96,,0.0
2018-08-26,2.4,,0.0
2018-08-27,8.0,,0.0
2018-08-28,7.2,,0.0
2018-08-29,2.4,,0.0
2018-08-30,4.4,,16.66
2018-08-31,2.08,,0.0
2018-09-01,0.78,,0.0
